전철역명,전철명명(영문),호선,외부코드
평내호평,Pyeongnae Hopyeong,경춘선,P128
청평,Cheongpyeong,경춘선,P132
중랑,Jungnang,경춘선,P119
별내,Byeollae,경춘선,P124
천마산,Cheonmasan,경춘선,P129
상봉,Sangbong,경춘선,P120
망우,Mangu,경춘선,P121
상천,Sangcheon,경춘선,P133
청량리,Cheongnyangni,경춘선,P117
회기,Hoegi,경춘선,P118
광운대,Kwangwoon Univ.,경춘선,P116
홍대입구,Hongik Univ.,공항철도,A03
마곡나루,Magongnaru,공항철도,A042
김포공항,Gimpo Intl. Airport,공항철도,A05
계양,Gyeyang,공항철도,A06
영종,Yeongjong,공항철도,A072
인천공항2터미널,Incheon Int’l Airport Terminal 2,공항철도,A11
인천공항1터미널,Incheon Int’l Airport Terminal 1,공항철도,A10
공항화물청사,Incheon Intl. Airport Cargo Terminal,공항철도,A09
운서,Unseo,공항철도,A08
청라국제도시,Cheongna Int’l City Station,공항철도,A071
검암,Geomam,공항철도,A07
서울역,Seoul Station,공항철도,A01
공덕,Gongdeok,공항철도,A02
디지털미디어시티,Digital Media City,공항철도,A04
사우,Sau,김포골드라인,696
운양,Unyang,김포골드라인,694
양촌,Yangchon,김포골드라인,690
구래,Gurae,김포골드라인,691
마산,Masan,김포골드라인,692
장기,Janggi,김포골드라인,693
풍무,Pungmu,김포골드라인,697
걸포북변,Geolpo Bukbyeon,김포골드라인,695
김포공항,Gimpo Int’l Airport,김포골드라인,699
고촌,Gochon,김포골드라인,698
선부,Seonbu,서해선,S25
신현,Sinhyeon,서해선,S20
초지,Choji,서해선,S26
달미,Dalmi,서해선,S24
풍산,Pungsan,서해선,S08
능곡,Neunggok,서해선,S12
시흥시청,Siheung City Hall,서해선,S22
시흥능곡,Siheung Neunggok,서해선,S23
김포공항,Gimpo Int'l Airport,서해선,S13
신천,Sincheon,서해선,S19
부천종합운동장,Bucheon Stadium,서해선,S15
곡산,Goksan,서해선,S10
시흥대야,Siheung Daeya,서해선,S18
소새울,Sosaeul,서해선,S17
소사,Sosa,서해선,S16
백마,Baengma,서해선,S09
원시,Wonsi,서해선,S28
원종,Wonjong,서해선,S14
대곡,Daegok,서해선,S11
시우,Siu,서해선,S27
일산,Ilsan,서해선,S07
보정,Bojeong,수인분당선,K234
송도,Songdo,수인분당선,K267
호구포,Hogupo,수인분당선,K263
오목천,Omokcheon,수인분당선,K247
기흥,Giheung,수인분당선,K237
태평,Taepyeong,수인분당선,K224
인천,Incheon,수인분당선,K272
야탑,Yatap,수인분당선,K226
남동인더스파크,Namdong Induspark,수인분당선,K264
인하대,Inha Univ.,수인분당선,K269
월곶,Wolgot,수인분당선,K260
상갈,Sanggal,수인분당선,K238
수내,Sunae,수인분당선,K229
선정릉,Seonjeongneung,수인분당선,K214
중앙,Jungang,수인분당선,K252
숭의,Sungui,수인분당선,K270
죽전,Jukjeon,수인분당선,K233
오리,Ori,수인분당선,K232
영통,Yeongtong,수인분당선,K240
한티,Hanti,수인분당선,K216
야목,Yamok,수인분당선,K249
구성,Guseong,수인분당선,K235
미금,Migeum,수인분당선,K231
안산,Ansan,수인분당선,K255
압구정로데오,Apgujeong rodeo,수인분당선,K212
고잔,Gojan,수인분당선,K253
대모산입구,Daemosan,수인분당선,K220
달월,Dalwol,수인분당선,K259
복정,Bokjeong,수인분당선,K222
왕십리,Wangsimni,수인분당선,K210
선릉,Seolleung,수인분당선,K215
청량리,Cheongnyangni,수인분당선,K209
정왕,Jeongwang,수인분당선,K257
초지,Choji,수인분당선,K254
한대앞,Hanyang Univ. at Ansan,수인분당선,K251
신갈,Singal,수인분당선,K236
신포,Sinpo,수인분당선,K271
정자,Jeongja,수인분당선,K230
모란,Moran,수인분당선,K225
가천대,Gachon Univ.,수인분당선,K223
강남구청,Gangnam-gu Office,수인분당선,K213
인천논현,Incheon Nonhyeon,수인분당선,K262
소래포구,Soraepogu,수인분당선,K261
매교,Maegyo,수인분당선,K244
신길온천,Neunggil,수인분당선,K256
개포동,Gaepo-dong,수인분당선,K219
연수,Yeonsu,수인분당선,K266
수원시청,Suwon City Hall,수인분당선,K243
원인재,Woninjae,수인분당선,K265
수서,Suseo,수인분당선,K221
매탄권선,MaetanGwonseon,수인분당선,K242
서현,Seohyeon,수인분당선,K228
서울숲,Seoul-forest,수인분당선,K211
어천,Eocheon,수인분당선,K248
고색,Gosaek,수인분당선,K246
구룡,Guryong,수인분당선,K218
망포,Mangpo,수인분당선,K241
수원,Suwon,수인분당선,K245
도곡,Dogok,수인분당선,K217
사리,Sari,수인분당선,K250
오이도,Oido,수인분당선,K258
청명,Cheongmyeong,수인분당선,K239
이매,Imae,수인분당선,K227
보라매,Boramae,신림선,S404
대방,Daebang,신림선,S402
당곡,Danggok,신림선,S407
관악산,Gwanaksan,신림선,S411
서울대벤처타운,Seoul National Univ. Venture Town,신림선,S410
서울지방병무청,Seoul Regional Office of Military Manpower,신림선,S403
서원,Sutgogae,신림선,S409
보라매병원,Boramae MedicalCenter,신림선,S406
보라매공원,Boramae Park,신림선,S405
신림,Sillim,신림선,S408
샛강,Saetgang,신림선,S401
신사,Sinsa,신분당선,D4
성복,Seongbok,신분당선,D16
광교중앙,GwanggyoJungang,신분당선,D18
상현,Sanghyeon,신분당선,D17
양재,Yangjae,신분당선,D8
광교,Gwanggyo,신분당선,D19
양재시민의숲,Yangjae Citizen's Forest,신분당선,D9
청계산입구,Cheonggyesan,신분당선,D10
판교,Pangyo,신분당선,D11
정자,Jeongja,신분당선,D12
미금,Migeum,신분당선,D13
동천,Dongcheon,신분당선,D14
수지구청,Suji-gu office,신분당선,D15
강남,Gangnam,신분당선,D7
신논현,Sinnonhyeon,신분당선,D6
논현,Nonhyeon,신분당선,D5
초당,Chodang,용인경전철,Y115
기흥,Giheung,용인경전철,Y110
강남대,Kangnam Univ.,용인경전철,Y111
지석,Jiseok,용인경전철,Y112
어정,Eojeong,용인경전철,Y113
동백,Dongbaek,용인경전철,Y114
삼가,Samga,용인경전철,Y116
시청.용인대,"City Hall, Yongin Univ.",용인경전철,Y117
명지대,Myongji Univ.,용인경전철,Y118
김량장,Gimnyangjang,용인경전철,Y119
용인중앙시장,Yongin Jungang Market,용인경전철,Y120
고진,Gojin,용인경전철,Y121
보평,Bopyeong,용인경전철,Y123
둔전,Dunjeon,용인경전철,Y125
전대.에버랜드,Jeondae ? Everland,용인경전철,Y126
북한산보국문,Bukhansan Bogungmun,우이신설선,S118
성신여대입구,Sungshin Women`s Univ.,우이신설선,S120
가오리,Gaori,우이신설선,S113
북한산우이,Bukhansan Ui,우이신설선,S110
솔밭공원,Solbat Park,우이신설선,S111
정릉,Jeongneung,우이신설선,S119
화계,Hwagye,우이신설선,S114
삼양,Samyang,우이신설선,S115
삼양사거리,Samyang Sageori,우이신설선,S116
솔샘,Solsaem,우이신설선,S117
4.19민주묘지,April 19th National Cemetery,우이신설선,S112
보문,Bomun,우이신설선,S121
신설동,Sinseoldong,우이신설선,S122
흥선,Heungseon,의정부경전철,U115
의정부중앙,Uijeongbu Jung-ang,의정부경전철,U117
의정부시청,Uijeongbu City Hall,의정부경전철,U114
동오,Dong-o,의정부경전철,U118
새말,sae-mal,의정부경전철,U119
경기도청북부청사,Gyeonggi Provincial Government Northern Office,의정부경전철,U120
효자,hyoja,의정부경전철,U121
곤제,gonjae,의정부경전철,U122
어룡,eoryong,의정부경전철,U123
송산,Songsan,의정부경전철,U124
탑석,Tapseok,의정부경전철,U125
발곡,Balgok,의정부경전철,U110
회룡,Hoeryong,의정부경전철,U111
범골,Beomgol,의정부경전철,U112
경전철의정부,Lrt Uijeongbu,의정부경전철,U113
완정,Wanjeong,인천2호선,I205
모래내시장,Moraenae Market,인천2호선,I223
석천사거리,Seokcheon Sageori,인천2호선,I222
인천시청,Inchon City Hall,인천2호선,I221
검단오류,Geomdan Oryu,인천2호선,I201
주안,Juan,인천2호선,I218
석바위시장,Seokbawi Market,인천2호선,I220
시민공원,Citizens Park,인천2호선,I219
주안국가산단,Juan National Industrial Complex,인천2호선,I217
가재울,Gajaeul,인천2호선,I216
인천가좌,Incheon Gajwa,인천2호선,I215
서부여성회관,West Woman's Community Center,인천2호선,I214
석남,Seongnam,인천2호선,I213
가정중앙시장,Gajeong Jungang Market,인천2호선,I212
